ID_Tiempo,Anio,Mes,Numero_Mes,Trimestre,Semestre,Temporada
1,2016,Enero,1,Q1,H1,"Humeda (Efecto Espejo)"
2,2016,Febrero,2,Q1,H1,"Humeda (Efecto Espejo)"
3,2016,Marzo,3,Q1,H1,"Humeda (Efecto Espejo)"
4,2016,Abril,4,Q2,H1,Transicion
5,2016,Mayo,5,Q2,H1,"Seca (Efecto Poligono)"
6,2016,Junio,6,Q2,H1,"Seca (Efecto Poligono)"
7,2016,Julio,7,Q3,H2,"Seca (Efecto Poligono)"
8,2016,Agosto,8,Q3,H2,"Seca (Efecto Poligono)"
9,2016,Septiembre,9,Q3,H2,"Seca (Efecto Poligono)"
10,2016,Octubre,10,Q4,H2,"Seca (Efecto Poligono)"
11,2016,Noviembre,11,Q4,H2,Transicion
12,2016,Diciembre,12,Q4,H2,"Humeda (Efecto Espejo)"
13,2017,Enero,1,Q1,H1,"Humeda (Efecto Espejo)"
14,2017,Febrero,2,Q1,H1,"Humeda (Efecto Espejo)"
15,2017,Marzo,3,Q1,H1,"Humeda (Efecto Espejo)"
16,2017,Abril,4,Q2,H1,Transicion
17,2017,Mayo,5,Q2,H1,"Seca (Efecto Poligono)"
18,2017,Junio,6,Q2,H1,"Seca (Efecto Poligono)"
19,2017,Julio,7,Q3,H2,"Seca (Efecto Poligono)"
20,2017,Agosto,8,Q3,H2,"Seca (Efecto Poligono)"
21,2017,Septiembre,9,Q3,H2,"Seca (Efecto Poligono)"
22,2017,Octubre,10,Q4,H2,"Seca (Efecto Poligono)"
23,2017,Noviembre,11,Q4,H2,Transicion
24,2017,Diciembre,12,Q4,H2,"Humeda (Efecto Espejo)"
25,2018,Enero,1,Q1,H1,"Humeda (Efecto Espejo)"
26,2018,Febrero,2,Q1,H1,"Humeda (Efecto Espejo)"
27,2018,Marzo,3,Q1,H1,"Humeda (Efecto Espejo)"
28,2018,Abril,4,Q2,H1,Transicion
29,2018,Mayo,5,Q2,H1,"Seca (Efecto Poligono)"
30,2018,Junio,6,Q2,H1,"Seca (Efecto Poligono)"
31,2018,Julio,7,Q3,H2,"Seca (Efecto Poligono)"
32,2018,Agosto,8,Q3,H2,"Seca (Efecto Poligono)"
33,2018,Septiembre,9,Q3,H2,"Seca (Efecto Poligono)"
34,2018,Octubre,10,Q4,H2,"Seca (Efecto Poligono)"
35,2018,Noviembre,11,Q4,H2,Transicion
36,2018,Diciembre,12,Q4,H2,"Humeda (Efecto Espejo)"
37,2019,Enero,1,Q1,H1,"Humeda (Efecto Espejo)"
38,2019,Febrero,2,Q1,H1,"Humeda (Efecto Espejo)"
39,2019,Marzo,3,Q1,H1,"Humeda (Efecto Espejo)"
40,2019,Abril,4,Q2,H1,Transicion
41,2019,Mayo,5,Q2,H1,"Seca (Efecto Poligono)"
42,2019,Junio,6,Q2,H1,"Seca (Efecto Poligono)"
43,2019,Julio,7,Q3,H2,"Seca (Efecto Poligono)"
44,2019,Agosto,8,Q3,H2,"Seca (Efecto Poligono)"
45,2019,Septiembre,9,Q3,H2,"Seca (Efecto Poligono)"
46,2019,Octubre,10,Q4,H2,"Seca (Efecto Poligono)"
47,2019,Noviembre,11,Q4,H2,Transicion
48,2019,Diciembre,12,Q4,H2,"Humeda (Efecto Espejo)"
49,2020,Enero,1,Q1,H1,"Humeda (Efecto Espejo)"
50,2020,Febrero,2,Q1,H1,"Humeda (Efecto Espejo)"
51,2020,Marzo,3,Q1,H1,"Humeda (Efecto Espejo)"
52,2020,Abril,4,Q2,H1,Transicion
53,2020,Mayo,5,Q2,H1,"Seca (Efecto Poligono)"
54,2020,Junio,6,Q2,H1,"Seca (Efecto Poligono)"
55,2020,Julio,7,Q3,H2,"Seca (Efecto Poligono)"
56,2020,Agosto,8,Q3,H2,"Seca (Efecto Poligono)"
57,2020,Septiembre,9,Q3,H2,"Seca (Efecto Poligono)"
58,2020,Octubre,10,Q4,H2,"Seca (Efecto Poligono)"
59,2020,Noviembre,11,Q4,H2,Transicion
60,2020,Diciembre,12,Q4,H2,"Humeda (Efecto Espejo)"
61,2021,Enero,1,Q1,H1,"Humeda (Efecto Espejo)"
62,2021,Febrero,2,Q1,H1,"Humeda (Efecto Espejo)"
63,2021,Marzo,3,Q1,H1,"Humeda (Efecto Espejo)"
64,2021,Abril,4,Q2,H1,Transicion
65,2021,Mayo,5,Q2,H1,"Seca (Efecto Poligono)"
66,2021,Junio,6,Q2,H1,"Seca (Efecto Poligono)"
67,2021,Julio,7,Q3,H2,"Seca (Efecto Poligono)"
68,2021,Agosto,8,Q3,H2,"Seca (Efecto Poligono)"
69,2021,Septiembre,9,Q3,H2,"Seca (Efecto Poligono)"
70,2021,Octubre,10,Q4,H2,"Seca (Efecto Poligono)"
71,2021,Noviembre,11,Q4,H2,Transicion
72,2021,Diciembre,12,Q4,H2,"Humeda (Efecto Espejo)"
73,2022,Enero,1,Q1,H1,"Humeda (Efecto Espejo)"
74,2022,Febrero,2,Q1,H1,"Humeda (Efecto Espejo)"
75,2022,Marzo,3,Q1,H1,"Humeda (Efecto Espejo)"
76,2022,Abril,4,Q2,H1,Transicion
77,2022,Mayo,5,Q2,H1,"Seca (Efecto Poligono)"
78,2022,Junio,6,Q2,H1,"Seca (Efecto Poligono)"
79,2022,Julio,7,Q3,H2,"Seca (Efecto Poligono)"
80,2022,Agosto,8,Q3,H2,"Seca (Efecto Poligono)"
81,2022,Septiembre,9,Q3,H2,"Seca (Efecto Poligono)"
82,2022,Octubre,10,Q4,H2,"Seca (Efecto Poligono)"
83,2022,Noviembre,11,Q4,H2,Transicion
84,2022,Diciembre,12,Q4,H2,"Humeda (Efecto Espejo)"
85,2023,Enero,1,Q1,H1,"Humeda (Efecto Espejo)"
86,2023,Febrero,2,Q1,H1,"Humeda (Efecto Espejo)"
87,2023,Marzo,3,Q1,H1,"Humeda (Efecto Espejo)"
88,2023,Abril,4,Q2,H1,Transicion
89,2023,Mayo,5,Q2,H1,"Seca (Efecto Poligono)"
